Gene name	Max score_0	Label_0	top_stat_0	Max score_1	Label_1	top_stat_1	Max score_2	Label_2	top_stat_2	Max score_3	Label_3	top_stat_3	Max score_4	Label_4	top_stat_4	Label
AARS2	0.7734818214063025	TSG	0	0.5238258877434135	TSG	0	0.5379607106000295	TSG	0	0.8225640534151173	TSG	0	0.6505018406432065	OG	0	Unlabelled
AARSD1	0.5896783545906353	TSG	0	0.5203065134099617	TSG	0	0.5379607106000295	TSG	0	0.8340019619118493	TSG	0	0.7213326840088572	OG	1	OG
AASDH	0.7228788928963973	TSG	0	0.5329191498157015	OG	0	0.5718092233940166	TSG	0	0.7659574468085106	TSG	0	0.5189387679210217	TSG	0	Unlabelled
AASDHPPT	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6868499253881676	OG	0	Unlabelled
AASDH_ENST00000502617	0.7228788928963973	TSG	0	0.5744463783639041	TSG	0	0.5207488197237279	OG	0	0.9281196089706729	TSG	1	0.5106665529637282	TSG	0	TSG
AASS	0.5390754260807301	TSG	0	0.5429191498157016	OG	0	0.5935761144978802	OG	0	0.6340425531914893	OG	0	0.6920545660868231	OG	0	Unlabelled
AATK	0.6985573420142588	TSG	0	0.5644463783639042	TSG	0	0.5214025635404994	TSG	0	0.8373860182370821	TSG	0	0.5409708285101783	OG	0	Unlabelled
AATK_ENST00000326724	0.6985573420142588	TSG	0	0.5903084473294213	TSG	0	0.581521611159547	TSG	0	0.8373860182370821	TSG	0	0.5800897305975962	OG	0	Unlabelled
AB019437_1	0.6144050078619246	TSG	0	0.5903084473294213	TSG	0	0.5753708175087534	TSG	0	0.8373860182370821	TSG	0	0.5456069719769064	OG	0	Unlabelled
ABAT	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6868499253881676	OG	0	Unlabelled
ABCA1	0.7228788928963973	TSG	0	0.704975113996088	TSG	0	0.581521611159547	TSG	0	0.9281196089706729	TSG	1	0.5815092759295054	TSG	0	TSG
ABCA10	0.7476839683235031	TSG	0	0.5594017094017094	OG	0	0.6337301587301587	TSG	0	0.9659574468085106	TSG	1	0.5368248307664328	OG	0	TSG
ABCA12	0.6049967359536529	TSG	0	0.5744463783639041	TSG	0	0.5549863253483894	OG	0	0.8373860182370821	TSG	0	0.5078609460443448	OG	0	Unlabelled
ABCA12_ENST00000389661	0.6387265587440631	TSG	0	0.5458854478854478	TSG	0	0.5740794561854324	OG	0	0.9289204097714736	TSG	1	0.5688618167643511	TSG	0	TSG
ABCA13	0.7228788928963973	TSG	0	0.6874984326018808	TSG	0	0.5254230313767567	TSG	0	0.9289204097714736	TSG	1	0.5748691043923508	TSG	0	TSG
ABCA13_ENST00000435803	0.7228788928963973	TSG	0	0.6791130450305708	TSG	0	0.5254230313767567	TSG	0	0.9289204097714736	TSG	1	0.5669511521837716	TSG	0	TSG
ABCA2	0.6049967359536529	TSG	0	0.5442603373637855	TSG	0	0.581521611159547	TSG	0	0.7659574468085106	TSG	0	0.5126366150501067	OG	0	Unlabelled
