Gene name	Max score_0	Label_0	top_stat_0	Max score_1	Label_1	top_stat_1	Max score_2	Label_2	top_stat_2	Max score_3	Label_3	top_stat_3	Max score_4	Label_4	top_stat_4	Label
ABCB5	0.8599015744927222	TSG	1	0.5596915526705787	OG	0	0.6792643923240939	TSG	0	0.9281196089706729	TSG	1	0.5240942736660021	TSG	0	TSG
ABCB5_ENST00000404938	0.7757492403403882	TSG	1	0.7390729959695477	OG	0	0.6792643923240939	TSG	0	0.7659574468085106	TSG	0	0.5438397089627078	TSG	0	TSG
ABCB5_ENST00000443026	0.6635316341711691	TSG	0	0.7835396404361921	OG	1	0.8167491298088313	TSG	1	0.7659574468085106	TSG	0	0.559061546903146	OG	0	Unlabelled
ABCB6	0.7757492403403882	TSG	1	0.6403084473294214	TSG	0	0.7332326462923477	TSG	1	0.9281196089706729	TSG	1	0.5875098966324771	TSG	0	TSG
ABCB7	0.5714473303112239	TSG	0	0.7055555555555555	OG	0	0.5084254814172305	OG	0	0.9281196089706729	TSG	1	0.5462275171338394	OG	0	TSG
ABCB8	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.6475443684661342	OG	0	0.8373860182370821	TSG	0	0.5785316684002348	OG	0	Unlabelled
ABCB8_ENST00000356058	0.66500793637183	TSG	0	0.7055555555555555	OG	0	0.5455427725510235	TSG	0	0.9281196089706729	TSG	1	0.5043333094621393	OG	0	TSG
ABCB8_ENST00000542328	0.5208444018013187	TSG	0	0.5903084473294213	TSG	0	0.5010180713801354	OG	0	0.8373860182370821	TSG	0	0.5355680182604953	OG	0	Unlabelled
ABCB9	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	0	Unlabelled
ABCC1	0.7356257835502648	TSG	0	0.5596915526705787	OG	0	0.5718092233940166	TSG	0	0.9281196089706729	TSG	1	0.5701763283120582	TSG	0	TSG
ABCC10	0.5055260204383011	TSG	0	0.6996879567089308	TSG	0	0.684487007686028	TSG	0	0.8340019619118493	TSG	0	0.6236891980595242	OG	0	Unlabelled
ABCC10_ENST00000372530	0.5055260204383011	TSG	0	0.5203065134099617	TSG	0	0.5919289645682835	TSG	0	0.8340019619118493	TSG	0	0.6645687582794142	OG	0	Unlabelled
ABCC11	0.6049967359536529	TSG	0	0.5442603373637855	TSG	0	0.5010180713801354	OG	0	0.7659574468085106	TSG	0	0.5867652549562392	OG	0	Unlabelled
ABCC12	0.6387265587440631	TSG	0	0.5790729959695478	OG	0	0.627907803176807	TSG	0	0.7659574468085106	TSG	0	0.5075488177422623	TSG	0	Unlabelled
ABCC1_ENST00000399408	0.6635316341711691	TSG	0	0.6503120432910692	OG	0	0.6771340665095575	TSG	0	0.9281196089706729	TSG	1	0.5718199027092921	OG	0	TSG
ABCC2	0.6387265587440631	TSG	0	0.6003084473294213	TSG	0	0.627907803176807	TSG	0	0.9281196089706729	TSG	1	0.5175845485889261	OG	0	TSG
ABCC3	0.7228788928963973	TSG	0	0.5744463783639041	TSG	0	0.5207488197237279	OG	0	0.9281196089706729	TSG	1	0.5465987421051616	TSG	0	TSG
